"","ranking","municipio","score","tipo_prestador","populacao","atendimento","coleta","tratamento","tarifa_agua","tarifa_esgoto","perdas","inv_per_capita","desempenho"
"1",1,"Curaçá",63.2749282836325,"Adm. pública municipal",35524,85.91,100,98.78,1.93,0.04,60.25,2.52,102.42
"2",2,"Salvador",62.4584406711195,"EMBASA",2953986,91.01,100,100,6.6,4.63,56.12,51.18,109.35
"3",3,"Jequié",58.7549996131549,"EMBASA",162209,100,100,100,5.46,4.29,20.66,29.3,133.78
"4",4,"Vitória da Conquista",58.450605144686,"EMBASA",348718,100,97.32,97.32,5.22,4.1,25.43,42.77,120.07
"5",5,"Dias d Ávila",58.1887542833421,"EMBASA",80657,74.31,99.61,99.61,4.89,3.74,64.86,0,56.29
"6",6,"Bom Jesus da Lapa",58.1849675617817,"Adm. pública municipal",70618,100,63.95,63.95,2.95,1.12,68.24,6.22,117.35
"7",7,"Feira de Santana",57.7635455419882,"EMBASA",627477,98.06,88.55,88.54,5.08,3.96,43.01,33.58,99.25
"8",8,"Mata de São João",57.1815331096692,"EMBASA",46998,100,80,80,8.61,6.47,51.51,39.36,119.38
"9",9,"Madre de Deus",56.4813900239268,"EMBASA",21007,100,91.36,91.36,6.21,3.8,42.54,0,84.14
"10",10,"Ilhéus",54.7510844633206,"EMBASA",176341,99.82,75.06,75.06,5.71,3.78,28.66,162.53,106.19
"11",103,"Ruy Barbosa",29.2586349133104,"EMBASA",32009,83.12,8.6,8.6,4.34,4.43,17.55,0,74.44
"12",104,"Amargosa",29.2346621240988,"EMBASA",38259,88.29,2.95,2.95,5.06,1.7,11.97,0.26,104.18
"13",105,"Conceição do Jacuípe",28.9111636930041,"EMBASA",33876,49.35,11.64,11.64,11.85,1.16,53.36,0,69.44
"14",106,"Itabela",28.4869740562294,"EMBASA",31422,78.52,3.83,3.83,4.91,1.59,14.27,0.52,100.43
"15",107,"Santa Maria da Vitória",28.1978762765007,"Adm. pública municipal",41769,82.52,19.75,11.37,7.39,2.99,0,2.74,100.49
"16",108,"Ibitiara",28.1265374776542,"EMBASA",16855,22.23,48.79,48.79,4.89,2.52,0,0,71.22
"17",109,"Nova Viçosa",27.7106706965078,"EMBASA",44052,62.99,9.56,9.56,4.82,1.52,17.27,2.47,86.62
"18",110,"Iguaí",27.268452965788,"EMBASA",27939,57.76,10.64,10.64,4.82,1.85,8.47,0,111.5
"19",111,"Campo Formoso",25.0086557938731,"EMBASA",73448,44.49,7.08,7.08,4.68,1.27,15.66,7.59,91.98
"20",112,"Itiúba",24.0785872547844,"EMBASA",37567,44.27,3.65,3.65,4.88,1.5,15.67,5.52,93.42
